branche	date	commits_avance	fichiers_code_en_conflit	zones	statut_pr	prs
origin/claude/affectionate-newton-fj5chz	2026-06-23	1	1	services/gateway	PR_MERGED	#839
origin/claude/amazing-bell-wtDQ6	2026-05-22	7	8	packages/MeeshySDK	PR_MERGED	#285
origin/claude/apps/android/call-video-survival-policy	2026-07-03	2	1	apps/android	PR_MERGED	#1387
origin/claude/apps/android/story-publish-retry	2026-06-27	2	2	apps/android	PR_MERGED	#962
origin/claude/awesome-albattani-xaqlhj	2026-06-12	1	8	apps/android	PR_MERGED	#587
origin/claude/blissful-ritchie-9jc6xs	2026-06-12	3	32	apps/android,apps/ios,apps/web	PR_CLOSED_UNMERGED	#615
origin/claude/brave-archimedes-0wmrme	2026-07-20	1	2	packages/shared	NO_PR	-
origin/claude/brave-archimedes-106vsp	2026-07-04	1	3	services/gateway	NO_PR	-
origin/claude/brave-archimedes-1aeop1	2026-07-10	1	1	apps/web	NO_PR	-
origin/claude/brave-archimedes-1h9uso	2026-07-20	1	2	packages/shared	NO_PR	-
origin/claude/brave-archimedes-1kh8ql	2026-07-10	2	2	services/gateway	PR_MERGED	#1805
origin/claude/brave-archimedes-3950sw	2026-07-01	1	5	apps/web	NO_PR	-
origin/claude/brave-archimedes-4r4eh6	2026-07-21	1	1	packages/shared,services/gateway	NO_PR	-
origin/claude/brave-archimedes-58u2mr	2026-07-20	1	1	services/gateway	NO_PR	-
origin/claude/brave-archimedes-5sz7mr	2026-07-18	1	2	apps/web	NO_PR	-
origin/claude/brave-archimedes-6oyyo0	2026-07-07	2	1	services/gateway	PR_CLOSED_UNMERGED	#1598
origin/claude/brave-archimedes-9dtosz	2026-07-20	1	1	services/gateway	NO_PR	-
origin/claude/brave-archimedes-as7za7	2026-07-18	1	3	apps/web	NO_PR	-
origin/claude/brave-archimedes-bpitnb	2026-07-20	1	1	services/gateway	NO_PR	-
origin/claude/brave-archimedes-bsh0z6	2026-07-19	1	2	services/gateway	NO_PR	-
origin/claude/brave-archimedes-cbk33m	2026-07-06	1	1	apps/web	NO_PR	-
origin/claude/brave-archimedes-cm4hnp	2026-07-06	1	2	services/gateway	NO_PR	-
origin/claude/brave-archimedes-eh1b5d	2026-07-01	1	3	apps/web	NO_PR	-
origin/claude/brave-archimedes-ejx4zg	2026-07-10	2	1	apps/web	PR_CLOSED_UNMERGED	#1791
origin/claude/brave-archimedes-fc80ej	2026-07-13	1	2	packages/shared	NO_PR	-
origin/claude/brave-archimedes-gvvjkm	2026-07-19	1	2	packages/shared,services/gateway	NO_PR	-
origin/claude/brave-archimedes-iy7tgv	2026-07-05	1	5	apps/web	NO_PR	-
origin/claude/brave-archimedes-k4xzr9	2026-07-12	1	2	services/gateway	NO_PR	-
origin/claude/brave-archimedes-kb9mpk	2026-07-12	1	2	packages/shared,services/gateway	PR_CLOSED_UNMERGED	#1929
origin/claude/brave-archimedes-okxxjl	2026-07-11	1	1	services/gateway	NO_PR	-
origin/claude/brave-archimedes-pqqa0p	2026-07-20	1	1	services/gateway	NO_PR	-
origin/claude/brave-archimedes-s965k2	2026-07-07	1	1	services/gateway	NO_PR	-
