origin/claude/admin-users-avatar-error-dulhn4	CLEAN_REAL_DELTA	PR_OPEN	#2888
origin/claude/affectionate-newton-fj5chz	CONFLICT_CODE	PR_MERGED	#839
origin/claude/amazing-bell-wtDQ6	CONFLICT_CODE	PR_MERGED	#285
origin/claude/amazing-darwin-8yp30q	SUBJECT_LANDED_SQUASH	NO_PR	-
origin/claude/amazing-darwin-oxyn5g	CONTENT_MERGED_PATCHID	PR_MERGED	#959
origin/claude/amazing-darwin-u4k5mz	SUBJECT_LANDED_SQUASH	PR_MERGED	#1049
origin/claude/apps/android/anonymous-session-store	CONTENT_MERGED_PATCHID	PR_MERGED	#2294
origin/claude/apps/android/auth-country-catalog	CONTENT_MERGED_PATCHID	PR_MERGED	#2210
origin/claude/apps/android/auth-email-recovery-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2267
origin/claude/apps/android/auth-jwt-expiry-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2270
origin/claude/apps/android/auth-language-step-selection-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2280
origin/claude/apps/android/auth-magic-link-countdown	CONTENT_MERGED_PATCHID	PR_MERGED	#2225
origin/claude/apps/android/auth-otp-verification-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2245
origin/claude/apps/android/auth-password-requirements	CONTENT_MERGED_PATCHID	PR_MERGED	#2213
origin/claude/apps/android/auth-phone-recovery-challenge	CONTENT_MERGED_PATCHID	PR_MERGED	#2265
origin/claude/apps/android/auth-region-language-inference	CONTENT_MERGED_PATCHID	PR_MERGED	#2218
origin/claude/apps/android/auth-saved-account-picker-core	CONTENT_MERGED_PATCHID	PR_MERGED	#2250
origin/claude/apps/android/auth-server-environment-selector	CONTENT_MERGED_PATCHID	PR_MERGED	#2248
origin/claude/apps/android/auth-signup-availability-local-gate	CONTENT_MERGED_PATCHID	PR_MERGED	#2221
origin/claude/apps/android/auth-token-refresh-authenticator	CONTENT_MERGED_PATCHID	PR_MERGED	#2288
origin/claude/apps/android/auth-token-refresh-policy-core	SUBJECT_LANDED_SQUASH	PR_MERGED	#2283
origin/claude/apps/android/call-captions-mode	CONTENT_MERGED_PATCHID	PR_MERGED	#2128
origin/claude/apps/android/call-dark-frame-detection	CONTENT_MERGED_PATCHID	PR_MERGED	#2094
origin/claude/apps/android/call-datachannel-protocol	CONTENT_MERGED_PATCHID	PR_MERGED	#2160
origin/claude/apps/android/call-duration-timer	CONTENT_MERGED_PATCHID	PR_MERGED	#1371
origin/claude/apps/android/call-ended-identity-teardown	CONTENT_MERGED_PATCHID	PR_MERGED	#1415
origin/claude/apps/android/call-ended-signal-identity	CONTENT_MERGED_PATCHID	PR_MERGED	#1411
origin/claude/apps/android/call-history-list	CONTENT_MERGED_PATCHID	PR_MERGED	#1304
